avg_rating,bitdepth,bitrate,channels,description,duration,id,license,name,num_ratings,preview-hq-mp3,preview-hq-ogg,samplerate,tags,type,url,username
5.0,16,1378,2,This sound was recorded in Laspuña (Huesca). It was recorded with a Zoom H2 recorder. The sound consists on manual spin of a bicycle wheel.,10.1022,157728,http://creativecommons.org/publicdomain/zero/1.0/,Spinning bicycle wheel,2,https://www.freesound.org/data/previews/157/157728_1960341-hq.mp3,https://www.freesound.org/data/previews/157/157728_1960341-hq.ogg,44100.0,Spin UPF-CS12 Bicle Machine Wheel,wav,https://www.freesound.org/people/davidkyoku/sounds/157728/,davidkyoku
3.666666666666665,24,1125,1,"One in a series of eight, rubbing a knife around on some cabbage to create some squeaking, creaking sounds. This might work OK for a creaking door or maybe even some leather clothes. Recorded with an AT4021 mic into a modified Marantz PMD 661 and trimmed with Reason.",4.25781,151838,http://creativecommons.org/licenses/by/3.0/,cabbage 05.wav,3,https://www.freesound.org/data/previews/151/151838_7037-hq.mp3,https://www.freesound.org/data/previews/151/151838_7037-hq.ogg,48000.0,door foley creak squeak,wav,https://www.freesound.org/people/Corsica_S/sounds/151838/,Corsica_S
0.0,24,1125,1,"One in a series of eight, rubbing a knife around on some cabbage to create some squeaking, creaking sounds. This might work OK for a creaking door or maybe even some leather clothes. Recorded with an AT4021 mic into a modified Marantz PMD 661 and trimmed with Reason.",1.89985,151837,http://creativecommons.org/licenses/by/3.0/,cabbage 06.wav,0,https://www.freesound.org/data/previews/151/151837_7037-hq.mp3,https://www.freesound.org/data/previews/151/151837_7037-hq.ogg,48000.0,door foley creak squeak,wav,https://www.freesound.org/people/Corsica_S/sounds/151837/,Corsica_S
5.0,24,1125,1,"One in a series of eight, rubbing a knife around on some cabbage to create some squeaking, creaking sounds. This might work OK for a creaking door or maybe even some leather clothes. Recorded with an AT4021 mic into a modified Marantz PMD 661 and trimmed with Reason.",16.2267,151836,http://creativecommons.org/licenses/by/3.0/,cabbage 07.wav,1,https://www.freesound.org/data/previews/151/151836_7037-hq.mp3,https://www.freesound.org/data/previews/151/151836_7037-hq.ogg,48000.0,door foley creak squeak,wav,https://www.freesound.org/people/Corsica_S/sounds/151836/,Corsica_S
5.0,24,1125,1,"One in a series of eight, rubbing a knife around on some cabbage to create some squeaking, creaking sounds. This might work OK for a creaking door or maybe even some leather clothes. Recorded with an AT4021 mic into a modified Marantz PMD 661 and trimmed with Reason.",3.69173,151835,http://creativecommons.org/licenses/by/3.0/,cabbage 08.wav,1,https://www.freesound.org/data/previews/151/151835_7037-hq.mp3,https://www.freesound.org/data/previews/151/151835_7037-hq.ogg,48000.0,door foley creak squeak,wav,https://www.freesound.org/people/Corsica_S/sounds/151835/,Corsica_S
0.0,24,1125,1,"One in a series of eight, rubbing a knife around on some cabbage to create some squeaking, creaking sounds. This might work OK for a creaking door or maybe even some leather clothes. Recorded with an AT4021 mic into a modified Marantz PMD 661 and trimmed with Reason.",3.17323,151831,http://creativecommons.org/licenses/by/3.0/,cabbage 04.wav,0,https://www.freesound.org/data/previews/151/151831_7037-hq.mp3,https://www.freesound.org/data/previews/151/151831_7037-hq.ogg,48000.0,door foley creak squeak,wav,https://www.freesound.org/people/Corsica_S/sounds/151831/,Corsica_S
0.0,24,1125,1,One in a series of some creaks from my cupboard doors. Recorded with an AT4021 mic into a modified Marantz PMD661 and edited with Reason.,3.93008,144446,http://creativecommons.org/licenses/by/3.0/,creaky 03.wav,0,https://www.freesound.org/data/previews/144/144446_7037-hq.mp3,https://www.freesound.org/data/previews/144/144446_7037-hq.ogg,48000.0,kitchen open creak close cupboard door foley,wav,https://www.freesound.org/people/Corsica_S/sounds/144446/,Corsica_S
4.5,16,1378,2,"This sound is almost like a heavy metal object hitting the ground of a large tunnel. It was made with FL Studio. Some alternate applications could be as a ""cancel"" sound in a game, as it has that sort of quality. ",3.80649,143605,http://creativecommons.org/licenses/by/3.0/,Synth Thud,6,https://www.freesound.org/data/previews/143/143605_2289019-hq.mp3,https://www.freesound.org/data/previews/143/143605_2289019-hq.ogg,44100.0,Reverb Video Dramatic Game Machine Metal Video-Game Impact,wav,https://www.freesound.org/people/D%20W/sounds/143605/,D W
5.0,0,1378,2,"walking on gravel, recorded from front of person walking",9.9276,143572,http://creativecommons.org/licenses/by/3.0/,foley_walking_whitegravel_front.mp3,1,https://www.freesound.org/data/previews/143/143572_2047402-hq.mp3,https://www.freesound.org/data/previews/143/143572_2047402-hq.ogg,44100.0,front-on gravel walking foley,mp3,https://www.freesound.org/people/gilly11/sounds/143572/,gilly11
5.0,0,1378,2,"walking on white gravel, recorded from left side of person",8.17739,143570,http://creativecommons.org/licenses/by/3.0/,foley_walking_whitegravel_side,1,https://www.freesound.org/data/previews/143/143570_2047402-hq.mp3,https://www.freesound.org/data/previews/143/143570_2047402-hq.ogg,44100.0,side-on gravel walking foley,mp3,https://www.freesound.org/people/gilly11/sounds/143570/,gilly11
5.0,24,2068,2,"walking on white gravel, recorded from left side of person",8.19202,143569,http://creativecommons.org/licenses/by/3.0/,foley_walking_whitegravel_side,1,https://www.freesound.org/data/previews/143/143569_2047402-hq.mp3,https://www.freesound.org/data/previews/143/143569_2047402-hq.ogg,44100.0,side-on gravel walking foley,wav,https://www.freesound.org/people/gilly11/sounds/143569/,gilly11
0.0,16,1411,2,Sounds from an inkjet printer.,52.3933333333,123605,http://creativecommons.org/publicdomain/zero/1.0/,md3trk12.AIF,0,https://www.freesound.org/data/previews/123/123605_296888-hq.mp3,https://www.freesound.org/data/previews/123/123605_296888-hq.ogg,44100.0,machine noise printer,aif,https://www.freesound.org/people/alienistcog/sounds/123605/,alienistcog
